,Shells,Aircraft,Fuel_Bladders,Missiles,fighter_hits,fuel_hits,misses,surviving_fighters,surviving_fuel_bladders,miss_percentage,Shell_Game
876,32,12,0,8,2,0,6,10,0,0.75,No Decoys
877,32,24,0,24,18,0,6,6,0,0.25,No Decoys
878,32,16,0,16,9,0,7,7,0,0.4375,No Decoys
879,32,16,0,12,7,0,5,9,0,0.4166666666666667,No Decoys
880,32,20,0,16,11,0,5,9,0,0.3125,No Decoys
881,32,20,0,16,12,0,4,8,0,0.25,No Decoys
882,32,12,0,16,5,0,11,7,0,0.6875,No Decoys
883,32,20,0,20,10,0,10,10,0,0.5,No Decoys
884,32,8,0,8,2,0,6,6,0,0.75,No Decoys
885,32,16,0,16,7,0,9,9,0,0.5625,No Decoys
886,32,12,0,8,2,0,6,10,0,0.75,No Decoys
887,32,24,0,24,17,0,7,7,0,0.2916666666666667,No Decoys
888,32,16,0,12,6,0,6,10,0,0.5,No Decoys
889,32,16,0,16,8,0,8,8,0,0.5,No Decoys
890,32,16,0,16,8,0,8,8,0,0.5,No Decoys
891,32,24,0,24,18,0,6,6,0,0.25,No Decoys
892,32,20,0,20,14,0,6,6,0,0.3,No Decoys
893,32,8,0,8,1,0,7,7,0,0.875,No Decoys
894,32,16,0,20,9,0,11,7,0,0.55,No Decoys
895,32,24,0,28,20,0,8,4,0,0.2857142857142857,No Decoys
896,32,16,0,20,10,0,10,6,0,0.5,No Decoys
897,32,8,0,12,4,0,8,4,0,0.6666666666666666,No Decoys
898,32,12,0,8,1,0,7,11,0,0.875,No Decoys
899,32,8,0,8,3,0,5,5,0,0.625,No Decoys
900,32,24,0,24,17,0,7,7,0,0.2916666666666667,No Decoys
901,32,24,0,24,18,0,6,6,0,0.25,No Decoys
902,32,24,0,28,22,0,6,2,0,0.21428571428571427,No Decoys
903,32,16,0,12,7,0,5,9,0,0.4166666666666667,No Decoys
904,32,20,0,20,15,0,5,5,0,0.25,No Decoys
905,32,12,0,8,4,0,4,8,0,0.5,No Decoys
906,32,24,0,28,22,0,6,2,0,0.21428571428571427,No Decoys
907,32,20,0,24,14,0,10,6,0,0.4166666666666667,No Decoys
908,32,12,0,16,6,0,10,6,0,0.625,No Decoys
909,32,8,0,12,3,0,9,5,0,0.75,No Decoys
910,32,16,0,16,8,0,8,8,0,0.5,No Decoys
911,32,20,0,20,11,0,9,9,0,0.45,No Decoys
912,32,16,0,16,8,0,8,8,0,0.5,No Decoys
913,32,8,0,4,0,0,4,8,0,1.0,No Decoys
914,32,16,0,16,9,0,7,7,0,0.4375,No Decoys
915,32,12,0,12,5,0,7,7,0,0.5833333333333334,No Decoys
916,32,8,0,8,2,0,6,6,0,0.75,No Decoys
917,32,20,0,24,13,0,11,7,0,0.4583333333333333,No Decoys
918,32,16,0,12,6,0,6,10,0,0.5,No Decoys
919,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
920,32,20,0,16,9,0,7,11,0,0.4375,No Decoys
921,32,24,0,20,14,0,6,10,0,0.3,No Decoys
922,32,24,0,28,20,0,8,4,0,0.2857142857142857,No Decoys
923,32,8,0,8,1,0,7,7,0,0.875,No Decoys
924,32,20,0,24,14,0,10,6,0,0.4166666666666667,No Decoys
925,32,20,0,20,11,0,9,9,0,0.45,No Decoys
926,32,8,0,8,3,0,5,5,0,0.625,No Decoys
927,32,20,0,24,16,0,8,4,0,0.3333333333333333,No Decoys
928,32,8,0,4,1,0,3,7,0,0.75,No Decoys
929,32,20,0,24,15,0,9,5,0,0.375,No Decoys
930,32,20,0,20,11,0,9,9,0,0.45,No Decoys
931,32,8,0,4,1,0,3,7,0,0.75,No Decoys
932,32,12,0,8,4,0,4,8,0,0.5,No Decoys
933,32,20,0,16,11,0,5,9,0,0.3125,No Decoys
934,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
935,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
936,32,12,0,12,3,0,9,9,0,0.75,No Decoys
937,32,8,0,8,1,0,7,7,0,0.875,No Decoys
938,32,24,0,20,15,0,5,9,0,0.25,No Decoys
939,32,12,0,12,3,0,9,9,0,0.75,No Decoys
940,32,20,0,24,16,0,8,4,0,0.3333333333333333,No Decoys
941,32,16,0,12,6,0,6,10,0,0.5,No Decoys
942,32,20,0,20,13,0,7,7,0,0.35,No Decoys
943,32,24,0,28,21,0,7,3,0,0.25,No Decoys
944,32,12,0,16,6,0,10,6,0,0.625,No Decoys
945,32,12,0,16,5,0,11,7,0,0.6875,No Decoys
946,32,20,0,20,13,0,7,7,0,0.35,No Decoys
947,32,24,0,24,16,0,8,8,0,0.3333333333333333,No Decoys
948,32,8,0,8,1,0,7,7,0,0.875,No Decoys
949,32,12,0,8,2,0,6,10,0,0.75,No Decoys
950,32,16,0,16,9,0,7,7,0,0.4375,No Decoys
951,32,20,0,24,15,0,9,5,0,0.375,No Decoys
952,32,24,0,28,22,0,6,2,0,0.21428571428571427,No Decoys
953,32,16,0,16,9,0,7,7,0,0.4375,No Decoys
954,32,16,0,12,6,0,6,10,0,0.5,No Decoys
955,32,24,0,20,14,0,6,10,0,0.3,No Decoys
956,32,12,0,12,2,0,10,10,0,0.8333333333333334,No Decoys
957,32,16,0,16,8,0,8,8,0,0.5,No Decoys
958,32,24,0,24,19,0,5,5,0,0.20833333333333334,No Decoys
959,32,16,0,16,7,0,9,9,0,0.5625,No Decoys
960,32,12,0,12,3,0,9,9,0,0.75,No Decoys
961,32,16,0,20,11,0,9,5,0,0.45,No Decoys
962,32,24,0,20,13,0,7,11,0,0.35,No Decoys
963,32,12,0,8,3,0,5,9,0,0.625,No Decoys
964,32,24,0,24,18,0,6,6,0,0.25,No Decoys
965,32,12,0,8,2,0,6,10,0,0.75,No Decoys
966,32,24,0,28,21,0,7,3,0,0.25,No Decoys
967,32,8,0,4,1,0,3,7,0,0.75,No Decoys
968,32,20,0,20,14,0,6,6,0,0.3,No Decoys
969,32,12,0,8,2,0,6,10,0,0.75,No Decoys
970,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
971,32,20,0,20,12,0,8,8,0,0.4,No Decoys
972,32,20,0,16,11,0,5,9,0,0.3125,No Decoys
973,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
974,32,24,0,24,16,0,8,8,0,0.3333333333333333,No Decoys
975,32,24,0,20,16,0,4,8,0,0.2,No Decoys
976,32,8,0,12,4,0,8,4,0,0.6666666666666666,No Decoys
977,32,8,0,8,2,0,6,6,0,0.75,No Decoys
978,32,20,0,24,13,0,11,7,0,0.4583333333333333,No Decoys
979,32,16,0,16,10,0,6,6,0,0.375,No Decoys
980,32,16,0,16,9,0,7,7,0,0.4375,No Decoys
981,32,20,0,20,13,0,7,7,0,0.35,No Decoys
982,32,8,0,8,5,0,3,3,0,0.375,No Decoys
983,32,20,0,16,8,0,8,12,0,0.5,No Decoys
984,32,20,0,16,10,0,6,10,0,0.375,No Decoys
985,32,16,0,20,12,0,8,4,0,0.4,No Decoys
986,32,20,0,24,16,0,8,4,0,0.3333333333333333,No Decoys
987,32,12,0,12,5,0,7,7,0,0.5833333333333334,No Decoys
988,32,8,0,8,0,0,8,8,0,1.0,No Decoys
989,32,16,0,12,5,0,7,11,0,0.5833333333333334,No Decoys
990,32,16,0,16,11,0,5,5,0,0.3125,No Decoys
991,32,12,0,16,5,0,11,7,0,0.6875,No Decoys
992,32,20,0,24,14,0,10,6,0,0.4166666666666667,No Decoys
993,32,12,0,8,3,0,5,9,0,0.625,No Decoys
994,32,8,0,8,2,0,6,6,0,0.75,No Decoys
995,32,16,0,12,6,0,6,10,0,0.5,No Decoys
996,32,8,0,8,2,0,6,6,0,0.75,No Decoys
997,32,8,0,8,2,0,6,6,0,0.75,No Decoys
998,32,24,0,28,22,0,6,2,0,0.21428571428571427,No Decoys
999,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
1000,32,24,0,24,18,0,6,6,0,0.25,Decoys - Balanced
1001,32,8,0,12,3,0,9,5,0,0.75,Decoys - Balanced
1002,32,20,0,20,13,0,7,7,0,0.35,Decoys - Balanced
1003,32,20,0,12,6,0,6,14,0,0.5,Decoys - Balanced
1004,32,16,0,20,11,0,9,5,0,0.45,Decoys - Balanced
1005,32,16,0,16,8,0,8,8,0,0.5,Decoys - Balanced
1006,32,16,0,16,7,0,9,9,0,0.5625,Decoys - Balanced
1007,32,20,0,28,18,0,10,2,0,0.35714285714285715,Decoys - Balanced
1008,32,24,0,28,21,0,7,3,0,0.25,Decoys - Balanced
1009,32,20,0,12,7,0,5,13,0,0.4166666666666667,Decoys - Balanced
1010,32,24,0,32,24,0,8,0,0,0.25,Decoys - Balanced
1011,32,16,0,8,4,0,4,12,0,0.5,Decoys - Balanced
1012,32,16,0,16,5,0,11,11,0,0.6875,Decoys - Balanced
1013,32,8,0,12,3,0,9,5,0,0.75,Decoys - Balanced
1014,32,24,0,20,15,0,5,9,0,0.25,Decoys - Balanced
1015,32,8,0,12,3,0,9,5,0,0.75,Decoys - Balanced
1016,32,8,0,8,0,0,8,8,0,1.0,Decoys - Balanced
1017,32,20,0,24,14,0,10,6,0,0.4166666666666667,Decoys - Balanced
1018,32,20,0,24,14,0,10,6,0,0.4166666666666667,Decoys - Balanced
